issue,date,front01,front02,front03,front04,front05,back01,back02
08104,2008-08-04,12,22,30,33,35,3,9
08105,2008-08-07,2,10,29,30,31,4,8
08106,2008-08-09,7,14,15,33,35,5,11
08107,2008-08-11,5,25,26,27,32,4,11
08108,2008-08-14,5,21,27,28,32,1,3
08109,2008-08-16,8,13,15,16,22,4,10
08110,2008-08-18,3,17,20,28,29,5,11
08111,2008-08-21,2,8,12,32,34,7,8
08112,2008-08-23,2,5,8,20,21,7,8
08113,2008-08-25,1,5,11,25,28,3,12
08114,2008-08-27,1,12,16,22,32,7,12
08115,2008-08-30,5,12,19,21,28,6,11
08116,2008-09-01,4,9,16,17,34,2,11
08117,2008-09-03,3,12,14,31,35,5,8
08118,2008-09-06,5,17,19,21,24,4,11
08119,2008-09-08,5,6,8,12,29,7,8
08120,2008-09-10,9,12,14,25,31,4,8
08121,2008-09-13,3,4,9,17,27,5,7
08122,2008-09-15,4,8,9,19,21,3,9
08123,2008-09-17,6,8,12,14,16,9,10
08124,2008-09-19,18,20,23,34,35,4,9
08125,2008-09-22,2,15,17,20,33,3,9
08126,2008-09-24,3,14,27,30,31,3,12
08127,2008-09-26,5,9,12,26,35,2,5
08128,2008-09-29,2,8,17,32,34,2,11
08129,2008-10-01,5,6,26,33,35,4,6
08130,2008-10-03,2,3,10,17,32,6,7
08131,2008-10-06,1,8,13,26,33,9,11
08132,2008-10-08,19,23,28,30,31,2,9
08133,2008-10-10,15,19,20,29,35,1,12
08134,2008-10-12,2,14,20,21,34,2,11
08135,2008-10-15,2,20,21,30,35,6,10
08136,2008-10-17,1,5,9,17,18,2,6
08137,2008-10-19,9,14,21,24,32,3,4
08138,2008-10-22,6,23,25,31,33,7,12
08139,2008-10-24,1,6,24,26,27,7,8
08140,2008-10-26,2,20,23,30,32,7,11
08141,2008-10-29,3,15,16,25,28,1,5
08142,2008-10-31,1,10,20,28,29,3,7
08143,2008-11-02,4,6,17,21,34,3,11
08144,2008-11-04,3,5,19,22,25,2,6
08145,2008-11-07,15,16,26,29,34,3,11
08146,2008-11-09,2,3,7,8,19,7,11
08147,2008-11-11,3,10,11,25,32,4,8
08148,2008-11-14,3,11,30,31,34,1,11
08149,2008-11-16,4,10,24,29,34,4,11
08150,2008-11-18,9,11,14,16,31,5,6
09001,2008-11-21,9,23,24,25,34,7,9
09002,2008-11-23,7,21,22,30,33,7,12
09003,2008-11-25,14,16,21,25,30,7,8
09004,2008-11-27,5,7,17,25,26,2,5
09005,2008-11-30,2,9,16,17,26,3,12
09006,2008-12-02,3,8,15,18,26,3,12
09007,2008-12-04,9,19,22,26,34,7,12
09008,2008-12-07,2,5,14,17,28,1,9
09009,2008-12-09,14,15,28,29,31,6,12
09010,2008-12-11,1,8,14,18,27,1,6
09011,2008-12-14,1,3,18,19,21,3,4
09012,2008-12-16,12,14,15,28,30,2,11
09013,2008-12-18,9,13,19,24,34,3,5
09014,2008-12-20,6,10,17,24,35,9,10
09015,2008-12-23,6,7,9,16,31,4,9
09016,2008-12-25,12,14,15,20,31,1,8
09017,2008-12-27,9,10,12,18,32,1,7
09018,2008-12-30,4,9,11,19,27,4,5
09019,2009-01-01,5,14,16,17,34,6,11
09020,2009-01-03,19,26,28,31,35,3,9
09021,2009-01-06,1,15,20,24,27,7,9
09022,2009-01-08,1,4,10,13,33,3,8
09023,2009-01-10,7,10,22,23,30,1,6
09024,2009-01-12,11,13,14,24,34,8,11
09025,2009-01-15,3,11,19,20,23,5,7
09026,2009-01-17,3,9,26,29,32,7,10
09027,2009-01-19,7,10,11,28,31,3,6
09028,2009-01-22,3,6,9,19,27,3,9
09029,2009-01-24,8,18,23,25,26,4,7
09030,2009-01-26,1,3,18,20,21,6,10
09031,2009-01-29,15,23,25,31,33,10,12
09032,2009-01-31,1,12,14,26,27,5,9
09033,2009-02-02,3,5,23,28,34,2,5
09034,2009-02-04,3,5,9,10,24,1,10
09035,2009-02-07,10,11,23,31,35,5,7
09036,2009-02-09,5,20,28,29,34,6,9
09037,2009-02-11,12,14,17,24,34,8,12
09038,2009-02-14,10,11,14,30,34,5,10
09039,2009-02-16,8,25,26,29,31,4,6
09040,2009-02-18,9,10,19,29,32,4,9
09041,2009-02-21,3,15,19,22,24,6,9
09042,2009-02-23,10,12,18,19,35,5,10
09043,2009-02-25,7,18,22,23,33,1,6
09044,2009-02-27,3,16,27,29,30,1,8
09045,2009-03-02,9,12,17,19,33,8,10
09046,2009-03-04,4,12,19,30,33,6,12
09047,2009-03-06,21,25,30,31,34,3,8
09048,2009-03-09,10,13,17,19,30,4,6
09049,2009-03-11,21,22,24,26,31,3,12
09050,2009-03-13,11,16,18,31,35,5,6
09051,2009-03-16,10,13,21,30,33,3,6
09052,2009-03-18,3,4,13,17,21,1,2
09053,2009-03-20,1,3,6,11,15,4,12
09054,2009-03-22,6,11,17,19,24,2,6
09055,2009-03-25,2,4,25,33,35,4,11
09056,2009-03-27,1,7,8,19,23,3,10
09057,2009-03-29,1,4,14,18,28,8,10
09058,2009-04-01,11,12,13,24,29,4,6
09059,2009-04-03,4,6,20,21,26,1,10
09060,2009-04-05,5,11,15,21,27,4,9
09061,2009-04-08,9,11,21,25,27,4,10
09062,2009-04-10,7,9,12,23,24,7,9
09063,2009-04-12,1,2,11,13,17,4,5
09064,2009-04-14,8,12,14,24,30,7,8
09065,2009-04-17,3,9,21,23,34,1,12
09066,2009-04-19,10,16,18,26,32,2,12
09067,2009-04-21,2,6,7,15,25,4,8
09068,2009-04-24,1,11,13,15,27,5,11
09069,2009-04-26,8,18,28,33,35,2,9
09070,2009-04-28,4,9,10,23,35,4,11
09071,2009-05-01,2,4,12,15,26,6,9
09072,2009-05-03,1,10,11,24,32,1,12
09073,2009-05-05,6,16,26,31,32,3,6
09074,2009-05-07,5,13,15,19,29,2,9
09075,2009-05-10,7,9,13,21,35,6,7
09076,2009-05-12,17,26,28,34,35,2,3
09077,2009-05-14,18,22,24,25,35,9,11
09078,2009-05-17,6,19,20,26,30,9,12
09079,2009-05-19,1,8,12,16,30,7,10
09080,2009-05-21,8,12,30,34,35,3,6
09081,2009-05-24,2,13,14,17,21,3,11
09082,2009-05-26,5,8,13,18,27,8,10
09083,2009-05-28,1,7,12,26,30,1,11
09084,2009-05-30,2,5,15,17,32,5,11
09085,2009-06-02,5,8,19,30,35,3,12
09086,2009-06-04,13,14,17,22,28,3,5
09087,2009-06-06,8,9,16,19,32,2,7
09088,2009-06-09,5,19,27,30,33,6,7
09089,2009-06-11,2,6,8,19,26,9,10
09090,2009-06-13,1,10,11,30,35,1,3
09091,2009-06-16,2,11,12,29,33,3,7
09092,2009-06-18,6,7,22,25,30,6,11
09093,2009-06-20,1,2,8,14,31,1,9
09094,2009-06-22,2,9,16,22,32,2,10
09095,2009-06-25,6,9,17,28,33,7,10
09096,2009-06-27,1,18,24,32,34,4,8
09097,2009-06-29,7,12,20,24,28,2,10
09098,2009-07-02,1,5,12,20,30,4,9
09099,2009-07-04,4,5,14,16,21,4,12
09100,2009-07-06,12,13,20,28,30,7,9
09101,2009-07-09,7,20,23,27,32,2,7
09102,2009-07-11,11,19,20,21,24,8,11
09103,2009-07-13,2,18,26,27,35,5,8
09104,2009-07-15,2,7,13,22,23,3,10
09105,2009-07-18,2,10,11,20,30,3,4
09106,2009-07-20,13,17,18,22,28,6,12
09107,2009-07-22,1,6,19,28,30,11,12
09108,2009-07-25,4,8,14,15,17,4,7
09109,2009-07-27,11,12,14,18,34,6,8
09110,2009-07-29,6,9,22,30,31,4,7
09111,2009-08-01,3,17,19,27,35,1,11
09112,2009-08-03,8,10,16,26,29,1,10
09113,2009-08-05,1,3,4,10,21,2,4
09114,2009-08-07,3,6,8,10,17,2,9
09115,2009-08-10,1,4,12,18,27,2,12
09116,2009-08-12,4,6,7,10,18,5,7
09117,2009-08-14,2,5,23,30,34,1,7
09118,2009-08-17,6,11,15,16,23,7,11
09119,2009-08-19,20,24,27,28,33,3,11
09120,2009-08-21,5,9,12,23,35,1,6
09121,2009-08-24,4,12,20,22,28,2,12
09122,2009-08-26,13,16,24,25,28,1,9
09123,2009-08-28,8,9,10,20,32,1,4
09124,2009-08-30,1,8,24,27,30,5,11
09125,2009-09-02,5,14,28,32,33,2,9
09126,2009-09-04,3,5,6,29,32,5,10
09127,2009-09-06,2,4,18,32,35,1,10
09128,2009-09-09,1,7,13,26,34,6,11
09129,2009-09-11,8,10,25,33,34,5,11
09130,2009-09-13,12,15,22,30,31,1,9
09131,2009-09-16,8,24,29,30,35,3,4
09132,2009-09-18,14,20,23,27,35,1,8
09133,2009-09-20,1,7,12,25,26,4,9
09134,2009-09-22,6,19,20,27,32,10,12
09135,2009-09-25,11,22,24,29,31,4,9
09136,2009-09-27,2,4,7,27,31,3,10
09137,2009-09-29,18,21,24,30,35,4,10
09138,2009-10-02,7,11,14,31,32,1,6
09139,2009-10-04,1,5,18,23,24,3,11
09140,2009-10-06,4,12,28,33,34,3,7
09141,2009-10-09,12,26,27,31,35,4,8
09142,2009-10-11,1,6,8,25,35,6,11
09143,2009-10-13,4,8,11,21,32,5,6
09144,2009-10-15,3,7,8,28,35,3,4
09145,2009-10-18,1,4,16,20,23,6,11
09146,2009-10-20,5,9,15,23,27,3,12
09147,2009-10-22,1,11,15,20,25,5,6
09148,2009-10-25,9,10,12,24,31,6,9
09149,2009-10-27,1,9,10,13,14,6,8
09150,2009-10-29,7,15,16,25,32,7,9
10001,2009-11-01,1,18,20,27,35,2,3
10002,2009-11-03,18,19,29,34,35,4,6
10003,2009-11-05,10,23,25,33,34,3,12
10004,2009-11-07,1,6,18,20,23,1,12
10005,2009-11-10,11,12,22,32,33,7,9
10006,2009-11-12,4,8,28,31,34,5,9
10007,2009-11-14,5,6,11,22,32,6,12
10008,2009-11-17,6,22,24,30,31,2,7
10009,2009-11-19,13,15,29,30,32,6,11
10010,2009-11-21,3,9,14,23,31,6,10
10011,2009-11-24,4,6,10,21,22,2,5
10012,2009-11-26,13,23,27,31,32,1,7
10013,2009-11-28,4,16,20,26,27,2,5
10014,2009-11-30,8,11,15,17,21,3,4
10015,2009-12-03,5,13,14,28,32,7,9
10016,2009-12-05,22,23,30,31,32,8,9
10017,2009-12-07,1,7,9,11,30,4,10
10018,2009-12-10,6,12,14,16,29,2,8
10019,2009-12-12,5,9,16,25,34,5,11
10020,2009-12-14,4,10,13,32,33,2,5
10021,2009-12-17,5,11,14,16,18,2,11
10022,2009-12-19,5,8,11,18,32,7,9
10023,2009-12-21,17,19,26,27,30,9,12
10024,2009-12-23,5,11,12,30,32,5,6
10025,2009-12-26,4,15,23,25,27,2,10
10026,2009-12-28,4,28,29,31,34,1,12
10027,2009-12-30,12,23,26,27,35,4,11
10028,2010-01-02,12,27,28,33,34,7,9
10029,2010-01-04,5,12,14,20,26,1,7
10030,2010-01-06,4,10,15,18,27,6,9
10031,2010-01-09,13,16,20,26,33,8,10
10032,2010-01-11,5,16,19,22,31,2,6
10033,2010-01-13,1,4,9,29,31,1,2
10034,2010-01-15,5,7,19,31,33,2,12
10035,2010-01-18,11,16,21,24,30,7,9
10036,2010-01-20,1,4,11,12,35,1,2
10037,2010-01-22,1,8,10,21,31,7,8
10038,2010-01-25,14,19,23,33,34,1,2
10039,2010-01-27,11,14,27,31,35,9,12
10040,2010-01-29,11,24,28,29,33,2,9
10041,2010-02-01,5,16,18,31,32,3,5
10042,2010-02-03,3,9,14,28,30,1,12
10043,2010-02-05,9,10,18,19,22,3,6
10044,2010-02-07,2,14,17,18,35,1,11
10045,2010-02-10,2,21,24,26,27,3,7
10046,2010-02-12,12,16,19,23,28,1,11
10047,2010-02-14,8,14,17,22,34,1,3
10048,2010-02-17,11,16,25,29,31,7,11
10049,2010-02-19,28,29,30,33,35,6,7
10050,2010-02-21,7,11,16,33,35,1,5
10051,2010-02-24,4,8,20,29,34,10,12
10052,2010-02-26,1,2,22,23,26,5,6
10053,2010-02-28,4,8,12,21,23,7,10
10054,2010-03-02,3,27,28,33,35,2,6
10055,2010-03-05,6,7,24,25,32,10,11
10056,2010-03-07,13,19,31,33,35,2,5
10057,2010-03-09,7,16,22,31,35,7,10
10058,2010-03-12,4,5,6,16,31,6,11
10059,2010-03-14,10,11,15,28,34,1,10
10060,2010-03-16,3,5,23,25,34,8,11
10061,2010-03-19,1,15,20,24,35,5,8
10062,2010-03-21,1,7,19,29,35,9,10
10063,2010-03-23,13,21,30,31,35,3,12
10064,2010-03-25,24,32,33,34,35,6,9
10065,2010-03-28,3,6,20,29,30,4,7
10066,2010-03-30,8,15,16,25,31,8,11
10067,2010-04-01,14,21,29,31,32,1,11
10068,2010-04-04,4,5,15,21,30,3,6
10069,2010-04-06,1,12,18,21,22,7,9
10070,2010-04-08,1,15,20,28,29,1,10
10071,2010-04-11,10,11,12,26,31,10,11
10072,2010-04-13,3,9,11,26,29,2,10
10073,2010-04-15,6,11,20,21,24,1,12
10074,2010-04-17,4,18,25,29,34,1,10
10075,2010-04-20,2,9,11,15,17,6,8
10076,2010-04-22,7,8,12,30,31,8,10
10077,2010-04-24,3,14,19,22,31,3,4
10078,2010-04-27,8,11,12,33,35,4,8
10079,2010-04-29,9,14,20,21,28,2,8
10080,2010-05-01,5,11,15,20,33,4,10
10081,2010-05-04,2,17,23,34,35,5,6
10082,2010-05-06,5,15,19,21,30,4,7
10083,2010-05-08,1,3,7,17,29,3,5
10084,2010-05-10,7,13,25,28,33,10,12
10085,2010-05-13,7,11,22,27,33,1,3
10086,2010-05-15,11,12,14,23,26,2,10
10087,2010-05-17,4,9,10,16,21,3,10
10088,2010-05-20,1,4,6,13,26,1,6
10089,2010-05-22,3,6,14,17,24,8,9
10090,2010-05-24,4,6,26,33,35,1,10
10091,2010-05-27,7,12,16,25,31,9,11
10092,2010-05-29,2,19,26,29,33,1,3
10093,2010-05-31,9,20,28,30,31,5,11
10094,2010-06-02,1,24,25,33,35,3,5
10095,2010-06-05,2,9,19,29,32,1,6
10096,2010-06-07,4,21,27,34,35,4,9
10097,2010-06-09,12,15,20,28,33,2,4
10098,2010-06-12,10,18,27,31,34,5,8
10099,2010-06-14,1,14,19,27,31,5,8
10100,2010-06-16,3,5,10,19,29,3,4
10101,2010-06-19,13,18,23,26,34,3,7
10102,2010-06-21,1,8,14,16,33,4,12
10103,2010-06-23,14,15,24,27,35,3,8
10104,2010-06-25,5,13,15,19,31,2,12
10105,2010-06-28,1,13,22,29,31,3,4
10106,2010-06-30,9,21,26,27,30,2,5
10107,2010-07-02,4,9,14,24,35,1,9
10108,2010-07-05,14,19,20,32,35,1,9
10109,2010-07-07,10,16,22,31,35,7,10
10110,2010-07-09,8,25,28,29,34,9,10
10111,2010-07-12,8,9,21,29,30,2,5
10112,2010-07-14,3,16,20,25,30,3,11
10113,2010-07-16,6,8,17,24,26,7,8
10114,2010-07-18,1,6,12,23,30,7,11
10115,2010-07-21,2,21,27,28,32,1,9
10116,2010-07-23,4,8,9,15,22,5,9
10117,2010-07-25,9,11,15,27,30,1,4
10118,2010-07-28,12,19,20,24,33,8,12
10119,2010-07-30,5,17,20,24,25,3,4
10120,2010-08-01,3,11,23,32,35,4,9
10121,2010-08-04,4,9,13,21,24,4,9
10122,2010-08-06,8,17,19,28,29,6,10
10123,2010-08-08,8,11,19,20,35,9,10
10124,2010-08-10,13,14,17,18,27,4,6
10125,2010-08-13,3,5,11,14,21,2,7
10126,2010-08-15,5,7,23,25,31,1,10
10127,2010-08-17,1,19,28,31,35,11,12
10128,2010-08-20,13,20,26,29,33,4,9
10129,2010-08-22,6,7,11,28,35,6,7
10130,2010-08-24,2,11,14,24,31,2,6
10131,2010-08-27,1,8,12,29,33,1,9
