issue,date,front01,front02,front03,front04,front05,back01,back02
07061,2007-10-17,2,10,19,28,29,2,9
07062,2007-10-20,1,4,10,14,29,11,12
07063,2007-10-22,10,31,33,34,35,7,12
07064,2007-10-24,2,16,32,33,35,5,10
07065,2007-10-27,19,20,24,29,31,9,10
07066,2007-10-29,4,7,8,19,24,7,12
07067,2007-10-31,11,18,25,30,31,4,9
07068,2007-11-03,4,9,13,14,33,6,10
07069,2007-11-05,2,13,16,21,35,1,5
07070,2007-11-07,7,26,29,30,35,3,4
07071,2007-11-10,10,22,32,33,35,1,7
07072,2007-11-12,21,24,26,27,33,1,5
07073,2007-11-14,4,5,9,12,23,2,11
07074,2007-11-17,16,17,23,24,31,5,10
07075,2007-11-19,5,11,20,30,32,7,11
07076,2007-11-21,2,9,12,15,31,9,10
07077,2007-11-24,4,6,12,13,24,1,4
07078,2007-11-26,9,12,14,22,23,1,2
07079,2007-11-28,6,9,25,26,31,2,8
07080,2007-12-01,1,15,20,25,27,5,10
07081,2007-12-03,6,18,20,22,35,4,9
07082,2007-12-05,3,5,14,33,34,7,8
07083,2007-12-08,1,5,20,21,24,3,4
07084,2007-12-10,5,11,18,29,34,10,11
07085,2007-12-12,17,24,28,29,33,2,5
07086,2007-12-15,14,18,19,26,28,3,9
07087,2007-12-17,8,18,30,31,33,4,9
07088,2007-12-19,17,18,21,23,33,6,10
07089,2007-12-22,8,13,24,30,34,1,12
07090,2007-12-24,4,20,24,31,33,9,12
07091,2007-12-26,7,12,26,31,32,3,8
07092,2007-12-29,6,19,27,28,29,6,10
07093,2007-12-31,6,8,16,25,27,8,12
08001,2008-01-02,1,2,11,34,35,3,10
08002,2008-01-05,1,12,24,31,32,10,12
08003,2008-01-07,1,11,13,32,35,2,7
08004,2008-01-09,9,22,24,31,33,8,9
08005,2008-01-12,18,25,29,31,34,9,10
08006,2008-01-14,10,12,26,29,34,5,7
08007,2008-01-16,3,4,5,12,28,3,12
08008,2008-01-19,2,6,8,17,32,8,9
08009,2008-01-21,4,8,12,24,30,5,8
08010,2008-01-23,6,23,24,27,29,6,8
08011,2008-01-26,14,20,22,24,27,7,10
08012,2008-01-28,2,10,29,32,35,2,3
08013,2008-01-30,1,11,19,22,35,5,9
08014,2008-02-02,4,7,10,28,34,1,6
08015,2008-02-04,9,18,20,27,33,6,9
08016,2008-02-13,8,10,11,17,19,6,9
08017,2008-02-16,2,14,25,29,32,1,6
08018,2008-02-18,3,6,7,11,30,2,3
08019,2008-02-20,8,24,25,29,31,4,5
08020,2008-02-23,4,5,15,17,33,4,8
08021,2008-02-25,5,10,13,21,24,4,9
08022,2008-02-27,9,12,13,25,31,8,10
08023,2008-03-01,6,26,31,32,34,7,10
08024,2008-03-03,8,12,17,20,30,1,2
08025,2008-03-05,6,10,12,15,28,4,12
08026,2008-03-08,1,21,22,24,25,8,10
08027,2008-03-10,5,17,23,31,32,4,8
08028,2008-03-12,3,11,17,19,26,7,12
08029,2008-03-15,6,11,18,29,30,4,11
08030,2008-03-17,3,21,23,26,35,5,8
08031,2008-03-19,14,20,23,27,28,2,4
08032,2008-03-22,3,9,19,27,33,9,10
08033,2008-03-24,3,10,21,23,30,1,9
08034,2008-03-26,6,7,18,34,35,5,10
08035,2008-03-29,2,12,13,29,30,5,7
08036,2008-03-31,9,19,22,30,32,1,10
08037,2008-04-02,11,20,24,31,35,4,10
08038,2008-04-05,12,13,19,32,33,2,10
08039,2008-04-07,7,11,15,27,35,4,7
08040,2008-04-09,4,8,19,22,29,8,11
08041,2008-04-12,7,17,21,22,28,5,10
08042,2008-04-14,5,10,13,32,35,4,5
08043,2008-04-16,5,8,10,31,33,2,4
08044,2008-04-19,2,21,23,27,32,10,11
08045,2008-04-21,14,32,33,34,35,2,4
08046,2008-04-23,11,25,26,27,35,7,8
08047,2008-04-26,12,18,22,23,30,6,12
08048,2008-04-28,1,13,22,25,27,2,10
08049,2008-04-30,1,11,14,28,30,3,10
08050,2008-05-03,1,5,11,26,27,3,7
08051,2008-05-05,1,7,9,11,33,3,11
08052,2008-05-07,3,18,19,30,35,5,9
08053,2008-05-10,1,13,21,23,32,3,6
08054,2008-05-12,5,14,23,31,35,2,6
08055,2008-05-14,2,14,28,30,35,4,12
08056,2008-05-17,15,19,25,30,31,3,9
08057,2008-05-19,5,8,9,17,33,5,6
08058,2008-05-21,3,9,11,29,33,3,12
08059,2008-05-24,7,13,21,25,31,8,10
08060,2008-05-26,3,13,17,23,30,1,11
08061,2008-05-28,7,10,14,19,32,3,6
08062,2008-05-31,1,15,27,28,29,3,10
08063,2008-06-02,7,11,24,30,35,6,8
08064,2008-06-04,14,18,24,27,31,6,7
08065,2008-06-07,19,22,23,25,32,6,12
08066,2008-06-09,2,7,21,22,25,4,12
08067,2008-06-11,3,10,14,15,22,4,7
08068,2008-06-14,6,9,11,33,34,6,10
08069,2008-06-16,5,13,16,29,33,6,8
08070,2008-06-18,9,17,18,21,31,1,5
08071,2008-06-21,1,5,11,14,25,1,9
08072,2008-06-23,10,25,32,33,34,3,9
08073,2008-06-25,2,5,6,7,31,8,10
08074,2008-06-28,10,13,22,31,35,4,12
08075,2008-06-30,1,10,13,30,33,6,7
08076,2008-07-02,3,5,10,27,34,1,12
08077,2008-07-05,1,8,21,33,34,5,7
08078,2008-07-07,8,17,20,28,31,7,11
08079,2008-07-09,20,23,26,32,33,5,12
08080,2008-07-12,6,9,29,31,33,5,11
08081,2008-07-14,7,8,20,22,29,4,7
08082,2008-07-16,15,19,29,33,35,1,2
08083,2008-07-19,6,14,15,30,31,3,10
08084,2008-07-21,2,17,20,22,25,5,11
08085,2008-07-23,3,7,13,15,19,2,10
08086,2008-07-26,1,6,10,22,35,3,7
08087,2008-07-28,14,22,32,33,35,1,5
08088,2008-07-30,7,11,19,27,31,2,3
08089,2008-08-02,8,13,24,32,33,3,9
08090,2008-08-04,4,11,18,33,34,2,6
08091,2008-08-06,9,13,19,22,25,4,10
08092,2008-08-09,3,23,26,32,34,4,9
08093,2008-08-11,6,7,10,24,30,5,8
08094,2008-08-13,7,12,19,27,34,11,12
08095,2008-08-16,3,4,11,21,25,1,7
08096,2008-08-18,6,7,12,25,28,2,12
08097,2008-08-20,1,10,31,33,35,3,10
08098,2008-08-23,7,10,22,27,33,4,8
08099,2008-08-25,3,18,23,25,30,6,10
08100,2008-08-27,12,20,26,29,30,2,6
08101,2008-08-30,10,13,23,31,33,4,11
08102,2008-09-01,5,25,26,29,35,3,10
08103,2008-09-03,2,11,22,30,34,4,9
08104,2008-09-06,7,8,10,24,34,8,11
08105,2008-09-08,12,21,22,26,35,4,5
08106,2008-09-10,3,5,21,28,33,2,6
08107,2008-09-13,1,2,13,15,16,4,9
08108,2008-09-15,11,16,24,29,32,9,11
08109,2008-09-17,1,10,18,28,34,5,8
08110,2008-09-20,5,16,25,27,33,4,9
08111,2008-09-22,2,11,12,14,19,5,9
08112,2008-09-24,4,18,26,32,33,5,8
08113,2008-09-27,11,14,17,19,22,1,8
08114,2008-09-29,2,3,22,27,31,6,7
08115,2008-10-01,7,9,19,21,33,7,10
08116,2008-10-04,6,8,15,24,31,1,3
08117,2008-10-06,13,23,24,25,30,2,8
08118,2008-10-08,6,9,19,25,30,6,12
08119,2008-10-11,1,2,10,19,27,1,11
08120,2008-10-13,21,23,24,25,32,3,4
08121,2008-10-15,11,23,24,32,35,4,10
08122,2008-10-18,3,6,12,20,29,9,12
08123,2008-10-20,1,6,12,28,31,8,9
08124,2008-10-22,2,10,13,29,33,6,10
08125,2008-10-25,1,4,28,33,34,6,11
08126,2008-10-27,9,29,32,34,35,1,8
08127,2008-10-29,8,21,22,31,33,1,7
08128,2008-11-01,12,15,23,24,25,10,11
08129,2008-11-03,13,16,20,25,27,4,5
08130,2008-11-05,3,5,22,29,34,7,12
08131,2008-11-08,8,9,12,21,32,7,11
08132,2008-11-10,6,14,24,27,29,5,9
08133,2008-11-12,10,12,15,33,35,3,9
08134,2008-11-15,11,13,15,28,35,8,10
08135,2008-11-17,7,22,25,29,33,1,12
08136,2008-11-19,3,28,29,32,34,1,6
08137,2008-11-22,1,10,25,32,35,5,9
08138,2008-11-24,4,5,18,22,35,7,8
08139,2008-11-26,1,6,10,14,22,6,8
08140,2008-11-29,2,9,11,29,32,8,9
08141,2008-12-01,9,15,18,30,34,4,5
08142,2008-12-03,6,18,21,30,35,8,9
08143,2008-12-06,1,2,22,29,32,1,4
08144,2008-12-08,10,19,27,28,33,5,12
08145,2008-12-10,5,16,27,29,30,5,11
08146,2008-12-13,9,23,24,26,33,7,12
08147,2008-12-15,16,18,19,24,35,11,12
08148,2008-12-17,3,7,20,33,35,4,7
08149,2008-12-20,2,5,6,27,29,3,4
08150,2008-12-22,1,9,10,15,25,3,8
09001,2009-01-03,1,15,23,27,30,4,10
09002,2009-01-05,1,4,7,12,30,5,10
09003,2009-01-07,16,18,23,30,32,2,11
09004,2009-01-10,1,3,22,32,35,6,10
09005,2009-01-12,10,11,15,31,32,5,8
09006,2009-01-14,2,4,22,31,35,9,12
09007,2009-01-17,6,14,15,29,35,6,11
09008,2009-01-19,4,17,21,29,31,2,12
09009,2009-01-21,12,18,23,26,32,6,9
09010,2009-01-24,2,9,12,21,29,7,11
09011,2009-02-02,2,11,13,14,21,2,4
09012,2009-02-04,2,5,20,25,31,10,12
09013,2009-02-07,5,24,26,30,35,5,12
09014,2009-02-09,8,14,15,25,26,7,9
09015,2009-02-11,1,5,10,16,27,3,4
09016,2009-02-14,10,11,20,26,27,9,11
09017,2009-02-16,5,11,23,26,33,4,12
09018,2009-02-18,1,6,13,28,29,3,9
09019,2009-02-21,4,29,31,32,35,4,10
09020,2009-02-23,5,16,18,32,35,2,11
09021,2009-02-25,1,15,31,32,34,3,8
09022,2009-02-28,12,14,17,34,35,4,11
09023,2009-03-02,15,17,21,27,33,7,11
09024,2009-03-04,29,31,32,33,35,10,11
09025,2009-03-07,3,17,22,23,33,4,10
09026,2009-03-09,24,30,31,32,34,10,12
09027,2009-03-11,3,22,26,33,34,9,10
09028,2009-03-14,6,20,30,32,35,9,11
09029,2009-03-16,3,4,13,17,24,4,11
09030,2009-03-18,1,7,27,30,32,1,4
09031,2009-03-21,7,11,19,21,22,1,11
09032,2009-03-23,4,12,20,26,29,6,10
09033,2009-03-25,2,8,18,21,32,8,11
09034,2009-03-28,5,19,31,32,35,4,9
09035,2009-03-30,3,7,9,28,33,3,8
09036,2009-04-01,2,12,26,31,33,9,10
09037,2009-04-04,17,18,19,25,31,1,11
09038,2009-04-06,6,17,20,29,32,4,5
09039,2009-04-08,1,3,7,10,33,3,4
09040,2009-04-11,3,16,30,32,33,1,10
09041,2009-04-13,5,9,20,23,29,4,10
09042,2009-04-15,11,24,25,26,31,2,7
09043,2009-04-18,5,21,22,32,35,2,5
09044,2009-04-20,1,7,18,29,34,3,9
09045,2009-04-22,1,9,14,24,35,6,9
09046,2009-04-25,1,9,24,34,35,4,9
09047,2009-04-27,13,18,21,24,29,3,6
09048,2009-04-29,5,6,22,25,27,11,12
09049,2009-05-02,5,16,28,29,34,11,12
09050,2009-05-04,5,15,28,32,33,8,9
09051,2009-05-06,3,11,22,26,29,5,12
09052,2009-05-09,23,24,30,34,35,1,3
09053,2009-05-11,5,9,24,31,33,5,6
09054,2009-05-13,2,12,19,29,30,7,12
09055,2009-05-16,5,8,14,23,24,5,6
09056,2009-05-18,4,13,17,32,35,3,6
09057,2009-05-20,6,15,22,27,30,2,9
09058,2009-05-23,8,10,14,27,32,2,7
09059,2009-05-25,2,13,14,29,33,4,11
09060,2009-05-27,18,28,29,30,31,4,8
09061,2009-05-30,2,10,21,26,34,2,10
09062,2009-06-01,4,22,23,29,31,5,11
09063,2009-06-03,5,6,18,21,22,1,7
09064,2009-06-06,6,10,11,17,34,11,12
09065,2009-06-08,1,12,24,27,32,2,11
09066,2009-06-10,1,8,19,24,31,6,12
09067,2009-06-13,3,6,25,28,32,2,5
09068,2009-06-15,2,12,15,20,28,1,12
09069,2009-06-17,14,16,27,30,33,8,12
09070,2009-06-20,10,21,24,30,31,3,10
09071,2009-06-22,4,20,29,30,33,2,11
09072,2009-06-24,23,26,29,32,33,5,10
09073,2009-06-27,1,10,19,21,30,1,4
09074,2009-06-29,15,17,19,23,32,1,11
09075,2009-07-01,1,7,11,32,33,9,11
09076,2009-07-04,3,9,11,18,24,4,5
09077,2009-07-06,7,20,28,32,34,6,8
09078,2009-07-08,11,23,26,31,34,5,11
09079,2009-07-11,1,2,7,13,34,4,10
09080,2009-07-13,7,16,19,29,35,2,11
09081,2009-07-15,2,15,20,25,33,3,6
09082,2009-07-18,5,11,26,29,32,8,11
09083,2009-07-20,2,5,28,34,35,1,7
09084,2009-07-22,5,9,19,26,35,2,10
09085,2009-07-25,6,13,27,33,34,9,12
09086,2009-07-27,1,2,7,26,29,10,12
09087,2009-07-29,10,24,28,30,33,1,10
09088,2009-08-01,13,16,27,32,34,3,9
09089,2009-08-03,3,6,11,19,27,2,7
09090,2009-08-05,18,25,30,33,34,4,10
09091,2009-08-08,1,5,17,32,34,3,7
09092,2009-08-10,10,21,22,27,29,8,12
09093,2009-08-12,7,9,22,30,33,9,11
09094,2009-08-15,1,5,21,23,29,5,12
09095,2009-08-17,8,18,24,30,33,1,6
09096,2009-08-19,7,12,28,32,33,1,3
09097,2009-08-22,6,13,14,22,25,1,4
09098,2009-08-24,11,17,19,25,26,2,10
09099,2009-08-26,3,9,21,23,33,6,10
09100,2009-08-29,16,20,25,29,33,1,8
09101,2009-08-31,2,10,14,22,26,4,9
09102,2009-09-02,11,13,29,32,35,10,12
09103,2009-09-05,16,20,28,32,33,1,2
09104,2009-09-07,15,25,29,32,33,10,11
09105,2009-09-09,1,25,26,34,35,6,11
09106,2009-09-12,11,21,22,25,34,6,9
09107,2009-09-14,11,12,33,34,35,1,10
09108,2009-09-16,1,9,14,29,30,7,10
09109,2009-09-19,2,11,13,26,35,6,10
09110,2009-09-21,22,28,30,31,34,7,9
09111,2009-09-23,4,11,13,19,35,10,12
09112,2009-09-26,2,8,12,34,35,4,5
09113,2009-09-28,3,4,10,18,27,6,8
09114,2009-09-30,2,8,25,29,33,3,7
09115,2009-10-03,1,2,6,8,26,5,12
09116,2009-10-05,12,15,23,30,33,9,12
09117,2009-10-07,7,21,29,31,33,9,10
09118,2009-10-10,10,17,18,21,34,5,11
09119,2009-10-12,3,12,22,23,28,4,12
09120,2009-10-14,11,23,27,28,32,2,5
09121,2009-10-17,4,5,8,11,22,2,10
09122,2009-10-19,1,2,11,31,33,5,6
09123,2009-10-21,10,21,28,29,32,6,10
09124,2009-10-24,1,3,14,32,35,7,11
09125,2009-10-26,8,20,23,29,31,2,11
09126,2009-10-28,14,23,27,28,33,8,12
09127,2009-10-31,5,9,27,32,34,5,8
09128,2009-11-02,6,21,28,32,34,4,7
09129,2009-11-04,2,10,18,32,33,3,8
09130,2009-11-07,9,14,25,32,34,2,8
09131,2009-11-09,2,3,8,33,34,3,11
09132,2009-11-11,2,10,12,15,28,4,7
09133,2009-11-14,1,8,24,27,34,10,11
09134,2009-11-16,2,16,19,28,33,7,11
09135,2009-11-18,6,8,15,20,32,5,6
09136,2009-11-21,7,13,23,24,29,6,10
09137,2009-11-23,12,28,29,30,34,1,9
09138,2009-11-25,3,4,14,28,32,9,10
09139,2009-11-28,14,16,20,22,32,5,9
09140,2009-11-30,7,8,19,26,30,1,12
09141,2009-12-02,13,14,21,30,33,2,8
09142,2009-12-05,5,6,13,24,31,3,11
09143,2009-12-07,1,9,10,11,22,1,12
09144,2009-12-09,18,26,32,33,34,4,6
09145,2009-12-12,5,11,14,22,35,3,10
09146,2009-12-14,11,17,23,24,25,3,6
09147,2009-12-16,6,12,18,22,29,5,8
09148,2009-12-19,2,4,13,14,33,1,9
09149,2009-12-21,1,3,10,12,20,2,7
09150,2009-12-23,4,11,18,25,34,5,7
10001,2010-01-02,2,6,7,12,27,2,8
10002,2010-01-04,4,23,25,26,30,7,10
10003,2010-01-06,5,14,23,27,30,2,8
10004,2010-01-09,3,6,21,24,34,4,6
10005,2010-01-11,4,17,19,22,30,2,3
10006,2010-01-13,3,13,19,30,34,2,5
10007,2010-01-16,7,23,26,29,32,8,11
10008,2010-01-18,11,23,25,31,32,5,11
10009,2010-01-20,2,5,13,27,32,3,11
10010,2010-01-23,15,22,24,32,35,2,9
10011,2010-01-25,2,3,11,27,32,8,11
10012,2010-01-27,20,24,30,31,33,5,12
10013,2010-01-30,18,21,22,26,34,9,12
10014,2010-02-01,18,19,30,33,35,2,4
10015,2010-02-03,3,10,14,18,28,8,10
10016,2010-02-06,10,12,20,23,32,4,10
10017,2010-02-08,13,21,23,27,34,9,12
10018,2010-02-10,3,10,26,32,33,4,12
10019,2010-02-20,3,11,19,26,27,2,9
10020,2010-02-22,8,18,26,32,33,1,6
10021,2010-02-24,11,20,23,24,25,7,9
10022,2010-02-27,2,11,13,14,25,2,5
10023,2010-03-01,11,13,29,32,33,2,8
10024,2010-03-03,3,14,19,24,25,4,11
10025,2010-03-06,9,11,13,14,25,1,7
10026,2010-03-08,5,23,25,31,35,7,10
10027,2010-03-10,5,23,26,32,34,2,9
10028,2010-03-13,1,2,7,20,35,1,3
10029,2010-03-15,21,22,33,34,35,3,4
10030,2010-03-17,10,12,19,32,35,2,7
10031,2010-03-20,5,13,16,17,35,6,8
10032,2010-03-22,13,16,23,24,33,7,11
10033,2010-03-24,12,19,28,29,30,5,8
10034,2010-03-27,1,6,19,25,26,3,9
10035,2010-03-29,14,16,20,31,34,1,7
10036,2010-03-31,19,25,28,31,33,1,8
10037,2010-04-03,19,21,26,34,35,1,9
10038,2010-04-05,8,10,25,29,33,1,2
10039,2010-04-07,7,19,26,28,32,1,8
10040,2010-04-10,13,20,26,31,35,2,11
10041,2010-04-12,16,22,28,29,34,4,12
10042,2010-04-14,1,5,19,34,35,6,7
10043,2010-04-17,5,8,10,33,35,2,10
10044,2010-04-19,6,21,24,28,30,2,7
10045,2010-04-21,8,17,18,20,28,9,10
10046,2010-04-24,2,15,19,26,27,5,6
10047,2010-04-26,4,8,11,30,31,2,8
10048,2010-04-28,2,3,10,12,25,3,9
10049,2010-05-01,1,25,29,31,33,4,10
10050,2010-05-03,7,8,15,30,35,5,10
10051,2010-05-05,6,10,20,24,32,6,10
10052,2010-05-08,4,6,25,29,32,5,6
10053,2010-05-10,9,19,22,26,34,9,11
10054,2010-05-12,12,25,29,30,33,10,11
10055,2010-05-15,13,14,17,27,32,2,10
10056,2010-05-17,5,9,23,25,30,9,12
10057,2010-05-19,15,17,24,32,35,7,9
10058,2010-05-22,6,15,17,19,30,1,12
10059,2010-05-24,6,10,14,25,34,1,3
10060,2010-05-26,10,13,22,33,34,1,5
10061,2010-05-29,5,12,14,17,22,5,7
10062,2010-05-31,6,7,18,30,31,7,8
10063,2010-06-02,7,14,16,30,31,3,6
10064,2010-06-05,7,10,12,20,21,6,9
10065,2010-06-07,5,8,13,14,32,8,11
10066,2010-06-09,15,21,22,24,27,1,6
10067,2010-06-12,1,11,19,30,32,3,10
10068,2010-06-14,11,17,19,20,34,6,10
10069,2010-06-16,6,17,18,25,29,8,9
10070,2010-06-19,5,14,23,25,28,11,12
10071,2010-06-21,7,12,26,30,32,2,7
10072,2010-06-23,5,10,17,23,25,3,10
10073,2010-06-26,4,9,11,30,32,1,11
10074,2010-06-28,3,7,20,27,32,2,12
10075,2010-06-30,10,12,17,23,27,5,7
10076,2010-07-03,9,12,16,19,35,2,12
10077,2010-07-05,6,7,9,17,24,2,12
10078,2010-07-07,2,3,15,28,35,1,11
10079,2010-07-10,1,4,21,22,24,2,5
10080,2010-07-12,8,19,27,29,34,4,10
10081,2010-07-14,14,18,20,24,27,5,10
10082,2010-07-17,5,8,24,29,30,4,6
10083,2010-07-19,7,11,21,22,35,4,7
10084,2010-07-21,3,13,14,22,26,2,5
10085,2010-07-24,2,10,16,18,34,2,3
10086,2010-07-26,1,2,12,19,35,5,7
10087,2010-07-28,1,12,20,21,24,2,8
10088,2010-07-31,3,5,14,30,35,3,6
10089,2010-08-02,4,10,13,18,23,8,10
10090,2010-08-04,8,24,26,31,32,7,9
10091,2010-08-07,6,10,23,26,31,5,7
10092,2010-08-09,2,15,29,30,34,2,12
10093,2010-08-11,2,4,9,28,29,5,8
10094,2010-08-14,20,32,33,34,35,6,7
10095,2010-08-16,12,14,16,19,25,1,6
10096,2010-08-18,4,9,24,30,35,1,10
10097,2010-08-21,9,17,21,28,29,2,8
10098,2010-08-23,2,3,12,13,25,1,7
10099,2010-08-25,3,11,17,21,30,1,8
10100,2010-08-28,19,20,30,33,35,6,8
10101,2010-08-30,11,15,22,27,35,5,8
10102,2010-09-01,4,15,19,24,35,1,10
10103,2010-09-04,10,14,29,30,35,5,8
10104,2010-09-06,14,25,30,32,33,1,11
10105,2010-09-08,5,17,26,27,35,8,9
10106,2010-09-11,5,27,28,29,34,9,12
10107,2010-09-13,14,17,22,27,34,3,5
10108,2010-09-15,1,10,13,19,34,9,12
10109,2010-09-18,1,2,8,11,25,10,12
10110,2010-09-20,21,29,30,33,35,7,11
10111,2010-09-22,3,6,13,14,29,1,2
10112,2010-09-25,14,15,18,34,35,8,10
10113,2010-09-27,5,16,22,23,32,4,10
10114,2010-09-29,3,7,22,25,35,3,11
10115,2010-10-02,5,7,10,15,32,3,8
10116,2010-10-04,14,22,27,28,35,4,10
10117,2010-10-06,4,6,21,27,34,5,9
10118,2010-10-09,19,22,23,29,35,8,10
10119,2010-10-11,5,13,14,23,26,2,3
10120,2010-10-13,8,10,18,34,35,6,10
10121,2010-10-16,21,22,31,32,34,2,12
10122,2010-10-18,5,6,11,13,26,2,7
10123,2010-10-20,18,20,30,32,33,1,11
10124,2010-10-23,1,9,27,29,34,1,6
10125,2010-10-25,1,7,9,14,19,9,12
10126,2010-10-27,3,5,9,13,33,5,11
10127,2010-10-30,3,22,24,30,33,4,10
10128,2010-11-01,6,17,19,29,35,2,8
10129,2010-11-03,14,15,24,25,26,3,7
10130,2010-11-06,5,6,9,10,34,8,11
10131,2010-11-08,10,15,22,28,29,4,12
10132,2010-11-10,18,21,23,25,29,6,11
10133,2010-11-13,11,16,17,21,22,3,6
10134,2010-11-15,9,12,13,19,30,4,5
10135,2010-11-17,14,17,19,26,32,3,4
10136,2010-11-20,3,13,18,30,33,7,8
10137,2010-11-22,22,27,28,33,35,9,11
10138,2010-11-24,8,12,14,19,27,5,6
10139,2010-11-27,3,13,16,19,29,7,9
10140,2010-11-29,6,18,20,30,31,3,6
10141,2010-12-01,5,11,17,23,33,3,10
10142,2010-12-04,10,11,19,21,27,4,6
10143,2010-12-06,10,16,18,22,27,6,8
10144,2010-12-08,2,11,16,22,31,10,11
10145,2010-12-11,18,19,27,28,33,3,6
10146,2010-12-13,14,17,30,31,34,4,10
10147,2010-12-15,1,15,19,21,23,11,12
10148,2010-12-18,3,4,8,10,35,2,6
10149,2010-12-20,5,22,24,25,30,1,6
10150,2010-12-22,5,24,28,29,35,1,9
11001,2011-01-01,7,8,15,32,34,5,12
11002,2011-01-03,11,13,27,28,29,2,6
11003,2011-01-05,1,24,27,30,31,1,6
11004,2011-01-08,7,8,10,23,25,7,9
11005,2011-01-10,1,7,25,27,30,7,12
11006,2011-01-12,2,8,16,26,35,11,12
11007,2011-01-15,14,24,32,33,35,2,9
11008,2011-01-17,1,23,26,27,30,5,6
11009,2011-01-19,9,10,11,14,24,3,8
11010,2011-01-22,4,8,10,14,27,5,7
11011,2011-01-24,2,17,23,24,30,2,9
11012,2011-01-26,3,12,19,25,30,8,11
11013,2011-01-29,5,8,14,28,30,4,6
11014,2011-01-31,2,14,20,21,24,2,9
11015,2011-02-09,8,18,19,22,23,1,3
11016,2011-02-12,15,20,30,33,35,6,9
11017,2011-02-14,16,19,24,26,31,2,4
11018,2011-02-16,16,22,24,32,34,2,10
11019,2011-02-19,8,21,23,27,33,6,11
11020,2011-02-21,9,12,19,22,28,1,5
11021,2011-02-23,1,9,13,17,30,2,8
11022,2011-02-26,9,14,24,25,34,1,4
11023,2011-02-28,5,13,16,18,24,2,12
11024,2011-03-02,12,15,16,20,33,8,12
11025,2011-03-05,8,9,25,28,29,2,10
11026,2011-03-07,1,9,15,20,29,7,9
11027,2011-03-09,5,14,25,34,35,2,5
11028,2011-03-12,1,2,13,17,28,1,4
11029,2011-03-14,3,9,17,24,28,6,12
11030,2011-03-16,15,19,25,30,33,3,8
11031,2011-03-19,12,17,19,22,35,4,11
11032,2011-03-21,7,16,23,31,33,3,10
11033,2011-03-23,3,19,24,29,33,3,9
11034,2011-03-26,3,6,9,17,27,3,9
11035,2011-03-28,3,4,13,15,32,4,9
11036,2011-03-30,3,18,29,30,33,8,9
11037,2011-04-02,1,12,14,22,24,10,12
11038,2011-04-04,7,9,11,13,33,10,12
